MRI_ID,T1_slice_00,T1_slice_01,T1_slice_02,T1_slice_03,T1_slice_04,T1_slice_05,T1_slice_06,T1_slice_07,T1_slice_08,T1_slice_09,T1_slice_10,T1_slice_11,T1_slice_12,T1_slice_13,T1_slice_14,T1_slice_15,T1_slice_16,T1_slice_17,T1_slice_18,T1_slice_19,T1_slice_20,T1_slice_21,T1_slice_22,T1_slice_23,T1_slice_24,T1_slice_25,T1_slice_26,T1_slice_27,T1_slice_28,T1_slice_29,T1_slice_30,T1_slice_31,T1_slice_32,T1_slice_33,T1_slice_34,T1_slice_35,T1_slice_36,T1_slice_37,T1_slice_38,T1_slice_39,T1_slice_40,T1_slice_41,T1_slice_42,T1_slice_43,T1_slice_44,T1_slice_45,Eye
sub-0610,1.2246583611440012,1.3794783253332386,1.3652297503844235,1.4438980480639088,1.0697480299274775,0.9094359449063518,1.014935892230444,0.8072148326885276,0.8126525867774237,0.753033277880168,0.8281292714919745,0.8595163052654082,0.7992638616562447,1.0956945720439184,0.6828608202128693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OD
sub-0610,1.1883475204591163,1.0287721797620306,1.0330960196156516,0.9191366369195156,0.8465339776390075,0.8687335507139218,0.8402596459979734,1.0365550914985486,1.0170978121572545,0.9465516360871528,0.8813025217800767,0.8465339776390075,0.8172537633141819,0.7895974668667014,0.7471125073487658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS
sub-0713,0.9764127981598554,0.9901827875344544,0.9525178165980508,0.9865377903470608,0.7932784553160429,0.77471680446466,0.7248018854119609,0.7799140667030471,0.7546702215451662,0.8229440463839961,0.7295896216113276,0.8146547401592412,0.8789088104928005,0.9024191685523038,0.8808311201551675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OD
sub-0713,0.8915960542644229,1.0103379089310072,0.9229038383635848,0.8900582065345293,0.9335401092271348,0.8003368475892102,0.8892892826695825,0.907540336005124,0.921328094531948,0.8735263434381728,0.773603105413577,0.6466249559879043,0.9260553260268588,0.7728606393795217,0.8708351099108589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS
sub-0717,1.095736081109605,0.9390552126378642,0.8410298054198245,0.8827534298175346,0.8600701758016033,0.7865962610095449,0.9386612766799548,0.8225672597374163,0.7093338146140068,0.6868543742872703,0.9288128777322238,0.7583825517154428,0.7932784553160429,0.7347456452106456,0.6872230517720552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OD
sub-0717,1.0391471634473373,1.0015698749477764,1.0750267245626968,0.9695278034725558,0.8716040337758058,0.8881358968721622,0.909116079836761,0.8923649781293698,0.9260553260268588,0.7951346204011811,0.7910510572138769,0.8600701758016033,0.8116404469866031,0.7951346204011811,0.8981319071164708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS
sub-0733,1.1539852955027656,1.0365550914985486,1.093495712542525,1.0279074117913063,1.02444833990841,1.0825014150355583,1.123410092254929,0.990426031192231,1.078103696032772,0.9258849444069344,0.8452791113108006,0.9351638672021344,0.9558935627271556,1.0127739723036333,1.0313664836742031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OD
sub-0733,0.9946892989039688,0.998099913073359,1.0356903235278243,0.8285475602680434,0.8926145957396161,1.039149395410721,1.1054747124403754,1.126100399227112,1.0613923638221832,1.1773516084730842,1.1453809325277575,1.2218438522395294,0.879626658971256,0.957172543040677,0.8394230684458357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS
sub-0760,1.1250694465207625,1.282795289093161,0.9095100157946704,0.89351836392679,0.7259067476118148,0.6391549673229121,0.6931218915286161,0.7457942672091841,0.7788003676519641,0.9292068136901328,1.057768927440273,0.8704506479783855,0.9331461732692254,0.6728446298654385,0.7624661149027471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OD
sub-0760,1.0128430614976445,1.016183264919828,0.899285292913891,0.7695195422262727,1.24781042624632,0.9610228100353032,0.5038854774221032,0.5313668032817913,0.7639510469708577,0.6868543742872703,0.7795428336860195,0.882368967885061,0.7015997792150298,0.7665496780900514,0.9146311832474908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS
sub-0780,1.0525915883035462,0.9808677947222256,0.944964252006503,0.905964592173487,0.8410298054198245,0.7895661251457663,0.7784291346349366,0.8735263434381728,0.7561551536132768,0.7977332515203748,0.8361315790142877,0.8808311201551675,0.8195529665647782,0.910691823668398,0.8297262060224317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OD
sub-0780,1.0136781123531904,1.0616519317928184,1.0253688243308317,0.7869674940265726,0.8881358968721622,0.8252047662634746,0.8071190072276458,0.8662215667211779,0.830856565962171,0.7951346204011811,0.7981044845374023,0.8074957938742258,0.8546877087469755,0.7910510572138769,0.996662782534266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS
sub-0803,1.1782679344719202,1.1709373264812322,1.16452304448938,1.0952548001436395,1.100990867486737,0.9166060216117338,0.8712473449271527,0.824782961283423,0.945286328433262,1.0772241522322146,0.9874417437940148,0.953335602100113,0.924619636753043,0.8804645903756663,0.9759309209723228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OD
sub-0803,1.1494163929860322,1.05259692581661,1.1599414144952,1.1915546614550427,1.2016732050908137,0.9563198894983294,0.9166060216117338,1.0322312516449277,0.962714791065936,0.9567462162695032,0.9271502520608252,0.9678307123200212,1.1045779434496477,0.9271502520608252,0.8235280949552162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS
